unit_serial,ttf_days,confirmed_failure_mode
LC-005669,77,UNKNOWN
LC-005724,16,OPTICS_DEGRADATION
LC-005742,19,OPTICS_DEGRADATION
LC-005742,34,OPTICS_DEGRADATION
LC-005772,116,VOLTAGE_RIPPLE
LC-005799,56,OPTICS_DEGRADATION
LC-005830,20,THERMAL_DRIFT
LC-005882,55,VOLTAGE_RIPPLE
LC-005934,44,UNKNOWN
LC-005944,78,UNKNOWN
LC-005949,111,THERMAL_DRIFT
LC-005955,79,UNKNOWN
LC-005957,78,THERMAL_DRIFT
LC-005969,102,OPTICS_DEGRADATION
LC-005991,47,OPTICS_DEGRADATION
LC-005991,97,OPTICS_DEGRADATION
LC-006021,68,UNKNOWN
LC-006032,75,OPTICS_DEGRADATION
LC-006035,27,THERMAL_DRIFT
LC-006052,63,OPTICS_DEGRADATION
LC-006073,98,UNKNOWN
LC-006079,102,OPTICS_DEGRADATION
LC-006091,11,FW_REGRESSION
LC-006093,93,THERMAL_DRIFT
LC-006109,32,THERMAL_DRIFT
LC-006129,99,OPTICS_DEGRADATION
LC-006146,109,UNKNOWN
LC-006150,90,UNKNOWN
LC-006177,109,UNKNOWN
LC-006183,20,FW_REGRESSION
LC-006235,19,THERMAL_DRIFT
LC-006245,46,OPTICS_DEGRADATION
LC-006246,103,UNKNOWN
LC-006273,70,OPTICS_DEGRADATION
LC-006310,61,OPTICS_DEGRADATION
LC-006330,76,UNKNOWN
LC-006367,97,THERMAL_DRIFT
LC-006381,41,FW_REGRESSION
LC-006445,75,THERMAL_DRIFT
LC-006466,20,OPTICS_DEGRADATION
LC-006483,97,UNKNOWN
LC-006506,92,UNKNOWN
LC-006551,84,OPTICS_DEGRADATION
LC-006582,87,THERMAL_DRIFT
LC-006596,61,VOLTAGE_RIPPLE
LC-006597,118,VOLTAGE_RIPPLE
LC-006607,16,VOLTAGE_RIPPLE
LC-006619,108,VOLTAGE_RIPPLE
LC-006624,61,UNKNOWN
LC-006635,97,UNKNOWN
LC-006658,110,UNKNOWN
LC-006685,109,UNKNOWN
LC-006690,44,UNKNOWN
LC-006699,83,VOLTAGE_RIPPLE
LC-006703,112,UNKNOWN
LC-006777,100,UNKNOWN
LC-006783,113,UNKNOWN
LC-006811,63,THERMAL_DRIFT
LC-006851,67,UNKNOWN
LC-006858,62,THERMAL_DRIFT
LC-006878,18,UNKNOWN
LC-006899,46,OPTICS_DEGRADATION
LC-006929,23,OPTICS_DEGRADATION
LC-006951,112,FW_REGRESSION
LC-006990,86,VOLTAGE_RIPPLE
LC-007021,58,OPTICS_DEGRADATION
LC-007061,86,THERMAL_DRIFT
LC-007083,55,THERMAL_DRIFT
LC-007098,75,OPTICS_DEGRADATION
LC-007119,94,UNKNOWN
LC-007125,16,OPTICS_DEGRADATION
LC-007150,94,THERMAL_DRIFT
LC-007213,21,UNKNOWN
LC-007234,103,VOLTAGE_RIPPLE
LC-007239,15,UNKNOWN
LC-007262,105,UNKNOWN
LC-007266,117,OPTICS_DEGRADATION
LC-007281,33,UNKNOWN
LC-007319,70,OPTICS_DEGRADATION
LC-007333,22,THERMAL_DRIFT
LC-007333,103,OPTICS_DEGRADATION
LC-007337,37,UNKNOWN
LC-007361,17,THERMAL_DRIFT
LC-007365,30,UNKNOWN
LC-007400,71,UNKNOWN
LC-007427,36,UNKNOWN
LC-007465,18,OPTICS_DEGRADATION
LC-007474,14,OPTICS_DEGRADATION
LC-007515,11,VOLTAGE_RIPPLE
LC-007573,10,UNKNOWN
LC-007577,25,THERMAL_DRIFT
LC-007584,114,UNKNOWN
LC-007607,55,VOLTAGE_RIPPLE
LC-007638,109,OPTICS_DEGRADATION
LC-007746,29,UNKNOWN
LC-007751,64,THERMAL_DRIFT
LC-007777,30,VOLTAGE_RIPPLE
LC-007780,83,OPTICS_DEGRADATION
LC-007813,105,FW_REGRESSION
LC-007855,74,UNKNOWN
LC-007878,16,UNKNOWN
LC-007902,58,UNKNOWN
LC-007905,73,FW_REGRESSION
LC-007973,38,OPTICS_DEGRADATION
LC-008005,100,THERMAL_DRIFT
LC-008018,53,UNKNOWN
LC-008021,36,FW_REGRESSION
LC-008022,115,UNKNOWN
LC-008057,105,UNKNOWN
LC-008080,11,UNKNOWN
LC-008086,74,VOLTAGE_RIPPLE
LC-008110,76,THERMAL_DRIFT
LC-008121,72,VOLTAGE_RIPPLE
LC-008157,114,OPTICS_DEGRADATION
LC-008178,82,THERMAL_DRIFT
LC-008187,58,UNKNOWN
LC-008243,86,OPTICS_DEGRADATION
LC-008256,85,VOLTAGE_RIPPLE
LC-008259,40,UNKNOWN
LC-008269,29,FW_REGRESSION
LC-008284,36,UNKNOWN
LC-008306,51,OPTICS_DEGRADATION
LC-008391,109,UNKNOWN
LC-008392,41,UNKNOWN
LC-008406,42,OPTICS_DEGRADATION
LC-008414,12,VOLTAGE_RIPPLE
LC-008416,69,UNKNOWN
LC-008428,50,UNKNOWN
LC-008431,111,UNKNOWN
LC-008437,117,OPTICS_DEGRADATION
LC-008446,48,FW_REGRESSION
LC-008477,48,OPTICS_DEGRADATION
LC-008483,70,OPTICS_DEGRADATION
LC-008511,95,UNKNOWN
LC-008538,65,VOLTAGE_RIPPLE
LC-008569,28,UNKNOWN
LC-008576,82,UNKNOWN
LC-008587,20,UNKNOWN
LC-008646,31,THERMAL_DRIFT
LC-008653,90,OPTICS_DEGRADATION
LC-008658,35,UNKNOWN
LC-008672,80,UNKNOWN
LC-008674,61,UNKNOWN
LC-008683,60,FW_REGRESSION
LC-008698,41,OPTICS_DEGRADATION
LC-008733,58,UNKNOWN
LC-008793,93,OPTICS_DEGRADATION
LC-008829,67,UNKNOWN
LC-008877,70,UNKNOWN
LC-008956,66,OPTICS_DEGRADATION
LC-008970,119,OPTICS_DEGRADATION
LC-008995,38,UNKNOWN
LC-009044,96,VOLTAGE_RIPPLE
LC-009053,26,UNKNOWN
LC-009067,12,UNKNOWN
LC-009074,60,UNKNOWN
LC-009074,107,UNKNOWN
LC-009084,67,UNKNOWN
LC-009137,15,OPTICS_DEGRADATION
LC-009143,78,THERMAL_DRIFT
LC-009147,91,THERMAL_DRIFT
LC-009173,40,FW_REGRESSION
LC-009180,116,OPTICS_DEGRADATION
LC-009181,95,FW_REGRESSION
LC-009202,42,THERMAL_DRIFT
LC-009248,31,UNKNOWN
LC-009256,11,UNKNOWN
LC-009265,113,OPTICS_DEGRADATION
LC-009298,23,UNKNOWN
LC-009314,45,OPTICS_DEGRADATION
LC-009346,118,VOLTAGE_RIPPLE
LC-009366,120,THERMAL_DRIFT
LC-009404,62,VOLTAGE_RIPPLE
LC-009474,64,UNKNOWN
LC-009482,17,THERMAL_DRIFT
LC-009499,81,UNKNOWN
LC-009504,59,UNKNOWN
LC-009506,25,OPTICS_DEGRADATION
LC-009518,114,VOLTAGE_RIPPLE
LC-009567,28,OPTICS_DEGRADATION
LC-009662,100,THERMAL_DRIFT
LC-009673,23,OPTICS_DEGRADATION
LC-009682,113,THERMAL_DRIFT
LC-009709,91,UNKNOWN
LC-009727,89,UNKNOWN
LC-009747,87,UNKNOWN
LC-009758,76,UNKNOWN
LC-009765,102,UNKNOWN
LC-009781,59,UNKNOWN
LC-009838,66,OPTICS_DEGRADATION
LC-009879,24,UNKNOWN
LC-009896,37,UNKNOWN
LC-009914,99,UNKNOWN
LC-009935,109,THERMAL_DRIFT
LC-009973,20,OPTICS_DEGRADATION
LC-009996,85,OPTICS_DEGRADATION
